name,studio_price,one_bed_price,two_bed_price,city,state
Northeast Dallas,,,,Dallas,TX
Paradise,,,,Las Vegas,NV
Maryvale,,,,Phoenix,AZ
Upper West Side,,,,New York,NY
South Los Angeles,,,,Los Angeles,CA
Sherman Oaks,,,,Los Angeles,CA
Upper East Side,,,,New York,NY
Sunrise Manor,,,,Las Vegas,NV
East New York,,,,New York,NY
Southeast Los Angeles,,,,Los Angeles,CA
Spring Valley,,,,Las Vegas,NV
Deer Valley,,,,Phoenix,AZ
Astoria,,,,New York,NY
Paradise Valley,,,,Phoenix,AZ
North Mountain,,,,Phoenix,AZ
Washington Heights,,,,New York,NY
Far North,,,,Dallas,TX
Hollywood,,,,Los Angeles,CA
Williamsburg,,,,New York,NY
Bedford Stuyvesant,,,,New York,NY
Camelback East,,,,Phoenix,AZ
Flatbush,,,,New York,NY
East Side,,,,El Paso,TX
Southeast Dallas,,,,Dallas,TX
Crown Heights,,,,New York,NY
Alahambra,,,,Phoenix,AZ
Jamaica,,,,New York,NY
Roosevelt,,,,Fresno,CA
Williamsbridge,,,,New York,NY
North Scottsdale,,,,Scottsdale,AZ
East Harlem,,,,New York,NY
East San Jose,,,,San Jose,CA
East Flatbush,,,,New York,NY
Harlem,,,,New York,NY
Bushwick,,,,New York,NY
South Mountain,,,,Phoenix,AZ
Corona,,,,New York,NY
Enterprise,,,,Las Vegas,NV
East Memphis-Colonial-Yorkshire,,,,Memphis,TN
Sunset Park,,,,New York,NY
Alief,,,,Houston,TX
South Side,,,,Corpus Christi,TX
North Hollywood,,,,Los Angeles,CA
Elmhurst,,,,New York,NY
Borough Park,,,,New York,NY
Central City,,,,Corpus Christi,TX
Bullard,,,,Fresno,CA
Mid City,,,,Los Angeles,CA
Bensonhurst,,,,New York,NY
Southwest Dallas,,,,Dallas,TX
West San Jose,,,,San Jose,CA
Northeast,,,,El Paso,TX
East,,,,Arlington,TX
Westlake,,,,Los Angeles,CA
Koreatown,,,,Los Angeles,CA
North Long Beach,,,,Long Beach,CA
White Haven-Coro Lake,,,,Memphis,TN
Soundview,,,,New York,NY
Sun Valley,,,,Los Angeles,CA
Lower East Side,,,,New York,NY
Logan Square,,,,Chicago,IL
South Bronx,,,,New York,NY
Northwest,,,,El Paso,TX
Southeast,,,,Arlington,TX
